len_chars,len_words,ratio_alpha,ratio_digits,ratio_rare_symbols,ratio_non_printable,line_breaks,one_letter_words,weird_alnum_tokens,repeated_char_tokens,near_empty_lines,symbol_only_lines,legal_terms_count,normal_word_ratio,important_data_count,ocr_quality_score,ocr_estado
3539.0,607.0,0.7239333144956203,0.0559480079118395,0.0008476970895733258,0.0,134.0,64.0,2.0,1.0,6.0,0.0,37.0,0.7841845140032949,30.0,0.9389925532068413,legible
3124.0,522.0,0.7378361075544174,0.04769526248399488,0.0019206145966709346,0.0,92.0,53.0,2.0,0.0,7.0,3.0,35.0,0.8199233716475096,27.0,0.9285449795547477,legible
5166.0,837.0,0.7303523035230353,0.053426248548199766,0.005420054200542005,0.0,109.0,69.0,6.0,1.0,4.0,2.0,40.0,0.8183990442054958,32.0,0.926349855756622,legible
3818.0,671.0,0.7278679937139864,0.057621791513881616,0.005238344683080147,0.0,89.0,54.0,5.0,1.0,3.0,2.0,30.0,0.8107302533532041,31.0,0.9257960838364147,legible
8875.0,1644.0,0.712,0.04428169014084507,0.005971830985915493,0.0,241.0,209.0,16.0,0.0,6.0,0.0,45.0,0.7901459854014599,38.0,0.9069625835303793,legible
3010.0,535.0,0.726578073089701,0.05149501661129568,0.000664451827242525,0.0,82.0,59.0,8.0,0.0,5.0,1.0,25.0,0.7831775700934579,19.0,0.9209206716642082,legible
4406.0,727.0,0.7142532909668634,0.06082614616432138,0.006128007262823422,0.0,124.0,66.0,7.0,0.0,2.0,0.0,30.0,0.7922971114167813,24.0,0.924609270464622,legible
3163.0,557.0,0.7252608283275371,0.04679102118242175,0.0015807777426493834,0.0,99.0,62.0,6.0,0.0,6.0,1.0,24.0,0.7809694793536804,17.0,0.923489062947875,legible
2728.0,468.0,0.6920821114369502,0.07074780058651027,0.005131964809384164,0.0,108.0,51.0,6.0,0.0,8.0,2.0,22.0,0.7628205128205128,23.0,0.9050108744513995,legible
6838.0,1111.0,0.7418835916934776,0.05264697279906405,0.0016086575021936238,0.0,136.0,109.0,8.0,0.0,5.0,0.0,44.0,0.8100810081008101,39.0,0.9376585635311117,legible
2709.0,457.0,0.714654854189738,0.06681432262827612,0.002583979328165375,0.0,81.0,50.0,2.0,2.0,3.0,0.0,31.0,0.7811816192560175,25.0,0.9268333531231092,legible
4577.0,765.0,0.7247105090670745,0.055494865632510375,0.002184837229626393,0.0,132.0,72.0,0.0,0.0,2.0,0.0,45.0,0.7816993464052288,31.0,0.9468026320862624,legible
